도로명주소,위도,경도,구분,이름
곤명면 고성산동학로 372,35.1401826004,127.927893913,1,유정사
곤명면 은사길 59,35.1286672678,127.9129801163,1,보연암
서포면 서포로 351-60,35.0164730315,127.9678966537,1,서광사
서포면 검섬길 51-29,34.9869301542,127.9801379275,1,명천사
서포면 대동안길 32,35.0119154699,127.9948217254,1,해동선원
서포면 동구길 104,35.0405597209,127.9646544218,1,안정사
사천대로 114,34.9384066614,128.0448020726,1,감로사
하궁지1길 39-24,34.9363495134,128.1138293316,1,성원암
홀곡1길 74,34.9650664807,128.1311085861,1,선암사
구실3길 174,34.9584182048,128.1232997204,1,성불사
구실1길 152,34.9550876555,128.1206117381,1,용국사
모충길 70,34.9627041092,128.0529667921,1,모충사
죽전길 255,34.9648807151,128.0815023024,1,죽림사
죽전안길 63-18,34.9643147789,128.0741283358,1,평안사
새섬바위길 426,34.9764269877,128.0846015229,1,갑룡사
죽전안길 108,34.9647103733,128.0761747129,1,광명사
벽동길 46,34.9836390572,128.0649737896,1,기원정사
배천길 30-46,34.9922960497,128.071674919,1,반야사
백천길 440,35.0012128105,128.1017762327,1,불이암
진삼로 314-5,34.9850766154,128.0635727402,1,능인사
새섬바위길 390-4,34.9739420688,128.0832528784,1,원불교수련원
삼랑진읍 삼랑진로 345-80,35.3948079297,128.8302060784,1,동성암
삼랑진읍 우곡2길 212,35.4492203172,128.8581347195,1,도성사
삼랑진읍 화성길 13-47,35.4106192006,128.8016751348,1,용암사
삼랑진읍 삼랑5길 19-28,35.389498113,128.8240539742,1,봉주사
삼랑진읍 단장로 379-8,35.4472881624,128.8689825967,1,삼봉사
삼랑진읍 검세1길 15-22,35.4100663894,128.8522188742,1,목주지련
삼랑진읍 단장로 340-17,35.4456679117,128.86744358,1,약수암
삼랑진읍 숭진석탑길 271,35.4595119558,128.8249395771,1,용운암
삼랑진읍 우곡1길 36-8,35.4329958466,128.8431083587,1,우곡사
삼랑진읍 청룡1길 56-5,35.441496296,128.8126687775,1,대본사
삼랑진읍 삼랑6길 40,35.3870520435,128.827655366,1,자비정사
삼랑진읍 행곡3길 254,35.4211611413,128.916622162,1,해선암
삼랑진읍 화성길 25,35.406009265,128.8029534732,1,청광사
